,index,ident,year,country,year1,countryyear,country3,year11,gdpg,gdp,bb,infl,sacw,govc,ethnf,assas,icrge,m2_1,ssa,easia,lpop,egypt,centam,frz,arms_1,dn1900,eda,beda,meda,wbeda,popdep,lgdp,bb100,infl100,ethnf100,ethnfassas,year2,year3,year4,year5,year6,year7,yearid,policy,edapolicy,eda2policy,gambia6,lgdp2
0,9.0,2.0,2.0,ALGERIA,1970-73,DZA2,DZA,8.0,2.3862649376194423,1826.0,-6.833651603845235,4.641260254718649,0.0,15.471667930072657,43.0,0.0,4.364583,49.102670906424535,0.0,0.0,16.48273182007767,0.0,0.0,0.0,2.967,0.0,1.0322863313632746,0.8427837403074557,0.18950259105581896,0.0,110.48199999999999,7.509883061154913,-0.06833651603845235,0.04641260254718649,0.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7453480163476232,0.769412569384382,0.7942540785545946,0.0,7.509883061154913
1,10.0,2.0,3.0,ALGERIA,1974-77,DZA3,DZA,1.0,3.236683587741318,2256.0,3.6604878610677654,8.209326290346475,0.0,12.345353089102142,43.0,0.0,4.364583,61.46247165720403,0.0,0.0,16.605724293120108,0.0,0.0,0.0,1.95,0.0,0.5008870785008365,0.4339372113961287,0.06694986710470768,0.0012511697911461858,107.439,7.721348612617949,0.036604878610677655,0.08209326290346475,0.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.4137874450900125,0.7081478629922981,0.3547021142408228,0.0,7.509883061154913
2,30.0,5.0,2.0,ARGENTINA,1970-73,ARG2,ARG,2.0,1.7002999098912903,5637.0,-2.114629855190148,34.08860661699045,0.0,10.194982089709809,31.0,2.75,4.28125,24.824761904761903,0.0,0.0,17.017207670059697,0.0,0.0,0.0,2.033,1.0,0.018238932481933156,0.016754546606771385,0.0014843858751617746,-0.0009610513220281104,57.3748,8.637107288081575,-0.02114629855190148,0.34088606616990447,0.31,0.8525,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6566675950214144,0.011976915928669002,0.00021844616096478367,0.0,8.637107288081575
3,31.0,5.0,3.0,ARGENTINA,1974-77,ARG3,ARG,3.0,1.0776147804299911,6168.0,-6.911748994814404,98.99595540755222,0.0,11.04447977840928,31.0,9.75,4.28125,28.793040293040296,0.0,0.0,17.082910797407898,0.0,0.0,0.0,1.725,1.0,0.01715546062151493,0.016532344003694573,0.0006231166178203585,-0.0024592855983310556,58.84435,8.727129915243166,-0.06911748994814404,0.9899595540755222,0.31,3.0225,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-0.5791518720569517,-0.00993561713494969,-0.00017045008850907837,0.0,8.637107288081575
4,32.0,5.0,4.0,ARGENTINA,1978-81,ARG4,ARG,4.0,-1.1152849926509973,5849.0,-3.3950442460093795,84.48314653574246,0.0,11.086979405773029,31.0,1.0,4.28125,30.23451703575927,0.0,0.0,17.1440028291558,0.0,0.0,0.0,1.075,1.0,0.02399418584984605,0.01949271236621878,0.004501473483627268,-0.002056800471400417,61.571266666666666,8.674025985443025,-0.033950442460093794,0.8448314653574246,0.31,0.31,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-0.13553275372625007,-0.0032519980816490585,-7.802904635443034e-05,0.0,8.637107288081575
5,33.0,5.0,5.0,ARGENTINA,1982-85,ARG5,ARG,5.0,-2.5513845759229032,5487.0,-5.220274064515744,162.2835708342431,0.0,,31.0,0.0,4.28125,29.73976633542225,0.0,0.0,17.201318460053034,0.0,0.0,0.0,6.125,1.0,0.02996304008993947,0.01563474785303781,0.014328292236901656,-0.0023687686023769095,64.2636,8.610136937058975,-0.05220274064515744,1.6228357083424312,0.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,-1.3481819068354888,-0.040395628523042786,-0.0012103758368942335,0.0,8.637107288081575
6,34.0,5.0,6.0,ARGENTINA,1986-89,ARG6,ARG,6.0,-1.0993061640922397,5624.0,-1.7726274624469425,160.718186097681,0.0,,31.0,0.25,4.28125,20.330551593849435,0.0,0.0,17.257792299725825,0.0,0.0,0.0,10.8,1.0,0.01572752211984178,0.03423905252908562,-0.01851153040924384,-0.020754370997434032,,8.6347984334905,-0.017726274624469424,1.60718186097681,0.31,0.0775,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-1.0903051659989518,-0.017147798615626278,-0.00026969238203385456,0.0,8.637107288081575
7,35.0,5.0,7.0,ARGENTINA,1990-93,ARG7,ARG,7.0,4.258730475856268,4706.0,-0.3759132947743584,112.6618924679083,0.75,,31.0,0.0,4.28125,21.72240539219566,0.0,0.0,17.314266347845987,0.0,0.0,0.0,3.675,1.0,0.0007560366032527871,0.033786490254151355,-0.033030453650898565,-0.01627669564663043,63.491,8.456593569287309,-0.0037591329477435842,1.126618924679083,0.31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.2946153487573628,0.000978776590793439,7.399909290468147e-07,0.0,8.637107288081575
8,135.0,20.0,2.0,BOLIVIA,1970-73,BOL2,BOL,7.0,1.2972895537549878,1661.0,-3.2068204964297062,10.278147086880818,1.0,9.891156079131775,68.0,0.75,2.270833,15.162555132451672,0.0,0.0,15.290450324904564,0.0,0.0,0.0,4.333,0.0,0.8619137252020126,0.7479844877701354,0.11392923743187722,0.012459430079383191,86.66245,7.415175109613295,-0.03206820496429706,0.10278147086880818,0.68,0.51,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.071396418227123,2.6472787284062584,2.281725870448685,0.0,7.415175109613295
9,136.0,20.0,3.0,BOLIVIA,1974-77,BOL3,BOL,8.0,2.9630489409354865,1838.0,-5.1778787092579455,17.15172924269275,1.0,10.57104252390995,68.0,0.0,2.270833,15.781296848718108,0.0,0.0,15.387497350590811,0.0,0.0,0.0,1.8,0.0,0.8665824061506658,0.6032079616031527,0.263374444547513,0.0796323333714205,86.62825,7.516433302915632,-0.05177878709257946,0.17151729242692748,0.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.8403793061550546,2.461422733508406,2.1330256349576637,0.0,7.415175109613295
